X Position,Y Position,GR Shear Correlation,DGQG Shear Correlation,Deviation from GR,Deviation from DGQG
-2.5294117647058822,-5.0,4.693645423820685e-09,4.6924780128021446e-09,-4.693644930114419e-09,-4.692477519095879e-09
-2.4901960784313726,-5.0,5.210770317484089e-09,5.21263408468841e-09,-5.2107698628356285e-09,-5.212633630039949e-09
-2.450980392156863,-5.0,5.775640972996053e-09,5.781176214609808e-09,-5.775640758989347e-09,-5.781176000603101e-09
-2.411764705882353,-5.0,6.391524972435581e-09,6.401303694360053e-09,-6.39152375723975e-09,-6.401302479164222e-09
-2.372549019607843,-5.0,7.06178140247049e-09,7.0762562297576295e-09,-7.061780358402116e-09,-7.076255185689255e-09
-2.3333333333333335,-5.0,7.78984758651488e-09,7.809297111781682e-09,-7.789847330841811e-09,-7.809296856108613e-09
-2.2941176470588234,-5.0,8.579223710364855e-09,8.603697229768083e-09,-8.579223600493726e-09,-8.603697119896954e-09
-2.2549019607843137,-5.0,9.433455274359014e-09,9.46272051368016e-09,-9.433455075513959e-09,-9.462720314835104e-09
-2.215686274509804,-5.0,1.035611332427437e-08,1.0389611265944361e-08,-1.0356113209520855e-08,-1.0389611151190847e-08
-2.1764705882352944,-5.0,1.1350772435041434e-08,1.1387583651289655e-08,-1.1350772383130777e-08,-1.1387583599378998e-08
-2.1372549019607843,-5.0,1.2420986445896932e-08,1.245981336323304e-08,-1.2420986040661517e-08,-1.2459812957997625e-08
-2.0980392156862746,-5.0,1.3570261972677297e-08,1.3609431192918009e-08,-1.3570261603791163e-08,-1.3609430824031875e-08
-2.058823529411765,-5.0,1.4802029752438687e-08,1.4839517910417803e-08,-1.4802029353130456e-08,-1.4839517511109573e-08
-2.019607843137255,-5.0,1.6119613907244358e-08,1.615309955489745e-08,-1.6119613404063515e-08,-1.6153099051716607e-08
-1.9803921568627452,-5.0,1.7526199247516214e-08,1.755314194446856e-08,-1.752619863013081e-08,-1.7553141327083156e-08
-1.9411764705882355,-5.0,1.9024796770462043e-08,1.9042542984662073e-08,-1.9024795862668773e-08,-1.9042542076868803e-08
-1.9019607843137254,-5.0,2.061820754536557e-08,2.0624121198631826e-08,-2.061820627677459e-08,-2.0624119930040844e-08
-1.8627450980392157,-5.0,2.230898521450796e-08,2.2300598840189738e-08,-2.2308984699845097e-08,-2.2300598325526875e-08
-1.823529411764706,-5.0,2.4099397375662077e-08,2.407457799460556e-08,-2.4099396963382713e-08,-2.4074577582326198e-08
-1.784313725490196,-5.0,2.5991386148904175e-08,2.594850822806073e-08,-2.5991385640109602e-08,-2.5948507719266158e-08
-1.7450980392156863,-5.0,2.7986528266314133e-08,2.7924644615736647e-08,-2.7986527633583708e-08,-2.7924643983006222e-08
-1.7058823529411766,-5.0,3.008599505734162e-08,3.000499535730371e-08,-3.008599439292672e-08,-3.000499469288881e-08
-1.6666666666666665,-5.0,3.229051273452742e-08,3.2191258669913636e-08,-3.229051190931685e-08,-3.2191257844703063e-08
-1.6274509803921569,-5.0,3.460032341320579e-08,3.4484749222193984e-08,-3.4600322447469376e-08,-3.448474825645757e-08
-1.5882352941176472,-5.0,3.7015147324067415e-08,3.688631502403554e-08,-3.70151463524811e-08,-3.6886314052449224e-08
-1.549019607843137,-5.0,3.953414669836326e-08,3.9396246397367385e-08,-3.9534146277578085e-08,-3.939624597658221e-08
-1.5098039215686274,-5.0,4.2155891821395337e-08,4.2014179397607836e-08,-4.215589135235313e-08,-4.201417892856563e-08
-1.4705882352941178,-5.0,4.487832976015361e-08,4.473899680109542e-08,-4.487832924480755e-08,-4.4738996285749364e-08
-1.431372549019608,-5.0,4.7698756274928456e-08,4.756873047811713e-08,-4.769875557774533e-08,-4.756872978093401e-08
-1.392156862745098,-5.0,5.0613791421950755e-08,5.050046958182304e-08,-5.061379015975308e-08,-5.050046831962537e-08
-1.3529411764705883,-5.0,5.361935934413963e-08,5.353027943915887e-08,-5.361935893461926e-08,-5.35302790296385e-08
-1.3137254901960786,-5.0,5.6710672729543785e-08,5.66531362642735e-08,-5.671067216171771e-08,-5.665313569644743e-08
-1.2745098039215685,-5.0,5.988222239179593e-08,5.986288276122531e-08,-5.988222186760504e-08,-5.986288223703442e-08
-1.2352941176470589,-5.0,6.312777239376419e-08,6.315220928329991e-08,-6.312777194706797e-08,-6.315220883660369e-08
-1.1960784313725492,-5.0,6.644036109457604e-08,6.651266443139234e-08,-6.644036071695313e-08,-6.651266405376943e-08
-1.156862745098039,-5.0,6.981230845147098e-08,6.993469779328276e-08,-6.981230785594934e-08,-6.993469719776112e-08
-1.1176470588235294,-5.0,7.323522985179873e-08,7.340773597715575e-08,-7.323522903502303e-08,-7.340773516038005e-08
-1.0784313725490198,-5.0,7.670005668735704e-08,7.69202912486111e-08,-7.670005561459187e-08,-7.692029017584593e-08
-1.0392156862745097,-5.0,8.01970638137501e-08,8.046010005789104e-08,-8.019706294884408e-08,-8.046009919298502e-08
-1.0,-5.0,8.371590396226127e-08,8.401428669905472e-08,-8.371590316875411e-08,-8.401428590554756e-08
-0.9607843137254903,-5.0,8.724564909176238e-08,8.756954545671981e-08,-8.724564817413266e-08,-8.756954453909008e-08
-0.9215686274509807,-5.0,9.0774838584388e-08,9.111233305582223e-08,-9.077483736887988e-08,-9.111233184031411e-08
-0.882352941176471,-5.0,9.429153410223846e-08,9.462906220523637e-08,-9.429153247241519e-08,-9.462906057541309e-08
-0.8431372549019605,-5.0,9.778338083441448e-08,9.810628664575687e-08,-9.77833790575859e-08,-9.810628486892829e-08
