,Time (s),Filtered Strain
405607,1187008881.4250488,-3.6148400786273416e-21
405608,1187008881.425293,-3.767181862364036e-21
405609,1187008881.425537,-4.66194424646109e-21
405610,1187008881.4257812,-5.907776376058262e-21
405611,1187008881.4260254,-6.90534716035179e-21
405612,1187008881.4262695,-7.181714781568667e-21
405613,1187008881.4265137,-6.657853433619801e-21
405614,1187008881.4267578,-5.697332278407589e-21
405615,1187008881.427002,-4.905914876144825e-21
405616,1187008881.427246,-4.792159236671259e-21
405617,1187008881.4274902,-5.4788811572648026e-21
405618,1187008881.4277344,-6.62886127814666e-21
405619,1187008881.4279785,-7.629206891704656e-21
405620,1187008881.428223,-7.93344063419187e-21
405621,1187008881.4284668,-7.370363822253831e-21
405622,1187008881.428711,-6.245379038149591e-21
405623,1187008881.428955,-5.174995026258443e-21
405624,1187008881.4291992,-4.7448393263068495e-21
405625,1187008881.4294434,-5.181689311541138e-21
405626,1187008881.4296875,-6.223869577125577e-21
405627,1187008881.4299316,-7.264369219814982e-21
405628,1187008881.4301758,-7.688290229053365e-21
405629,1187008881.43042,-7.216442001595997e-21
405630,1187008881.430664,-6.0622312009387566e-21
405631,1187008881.4309082,-4.812877742771951e-21
405632,1187008881.4311523,-4.1006454188479835e-21
405633,1187008881.4313965,-4.248338111969712e-21
405634,1187008881.4316406,-5.0886316524918505e-21
405635,1187008881.4318848,-6.059578765217341e-21
405636,1187008881.432129,-6.523091753295557e-21
405637,1187008881.432373,-6.126964819272939e-21
405638,1187008881.4326172,-5.0056244316204896e-21
405639,1187008881.432861,-3.705207288347216e-21
405642,1187008881.4335938,-3.6581684019227345e-21
405643,1187008881.433838,-4.6281895476319505e-21
405644,1187008881.434082,-5.133493715906861e-21
405645,1187008881.4343262,-4.750246984338389e-21
405646,1187008881.4345703,-3.543382603781067e-21
405664,1187008881.4389648,3.757864854371401e-21
405665,1187008881.439209,4.297469869417448e-21
405666,1187008881.4394531,3.88078260761458e-21
405671,1187008881.4406738,4.026662801340004e-21
405672,1187008881.440918,5.4136494379051155e-21
405673,1187008881.441162,6.099663875120753e-21
405674,1187008881.4414062,5.815718729351205e-21
405675,1187008881.4416504,4.831125354286356e-21
405676,1187008881.4418943,3.799879941904947e-21
405678,1187008881.4423828,3.916167505127303e-21
405679,1187008881.442627,5.1505857502214265e-21
405680,1187008881.442871,6.4692225158115456e-21
405681,1187008881.4431152,7.198565006558078e-21
405682,1187008881.4433594,6.998236330180894e-21
405683,1187008881.4436035,6.05189589602865e-21
405684,1187008881.4438477,4.96047057365118e-21
405685,1187008881.4440918,4.398403631711488e-21
405686,1187008881.444336,4.727711540826961e-21
405687,1187008881.44458,5.7887383676914534e-21
405688,1187008881.4448242,6.986897018435526e-21
405689,1187008881.4450684,7.627470198525393e-21
405690,1187008881.4453125,7.310020137886332e-21
405691,1187008881.4455566,6.1595213189731254e-21
