Frequency (Hz),White Hole SGWB,LISA Sensitivity
0.2326662911331458,7.003758510427551e-29,1.0541372002065051e-40
0.23919798400202397,3.4964496127065213e-29,1.057218905037581e-40
0.2459130425468044,1.713799116863787e-29,1.0604761243307468e-40
0.25281661443315007,8.243383886411032e-30,1.063918844797356e-40
0.2599139918382933,3.8889670949380146e-30,1.0675576223769167e-40
0.2672106155079435,1.798497575810204e-30,1.071403614578997e-40
0.27471207892708116,8.14871948482465e-31,1.0754686146734995e-40
0.2824241326078436,3.615122846798121e-31,1.0797650878338093e-40
0.29035268849778134,1.5694741982612299e-31,1.0843062093433469e-40
0.29850382451187324,6.663751128007358e-32,1.089105904982415e-40
0.30688378919176423,2.765320384209595e-32,1.0941788937189477e-40
0.31549900649580886,1.1208700099149905e-32,1.0995407328338631e-40
0.32435608072358113,4.434670234197369e-33,1.105207865619213e-40
0.33346180157863625,1.711468170396113e-33,1.1111976717952278e-40
0.34282314937339703,6.43835005072924e-34,1.1175285208007244e-40
0.35244730038015837,2.359211876094071e-34,1.1242198281201623e-40
0.36234163233231503,8.41444540023446e-35,1.131292114819974e-40
0.372513730080021,2.9189108605903586e-35,1.1387670704766375e-40
0.3829713914046281,9.840435059299625e-36,1.1466676196893908e-40
0.3937226329963479,3.2214970484826963e-36,1.1550179923814731e-40
0.4047756965997322,1.0232769996447228e-36,1.1638437981054314e-40
0.41613905533167067,3.1510314735365245e-37,1.173172104580288e-40
0.4278214201767617,9.398488408912659e-38,1.1830315207013893e-40
0.4398317466650224,2.712814424732728e-38,1.1934522842774386e-40
0.4521792417370702,7.570753680866182e-39,1.2044663547637666e-40
0.4648733708020257,2.04081681388971e-39,1.216107511276173e-40
0.47792386499356,5.308748975533752e-40,1.2284114561859178e-40
0.4913407286296362,1.331279160990631e-40,1.2414159246135248e-40
0.5051342468816766,3.215053287298335e-41,1.2551608001571888e-40
0.5193149936590212,7.469475306197434e-42,1.269688237210668e-40
0.5338938397147355,1.667641845765272e-42,1.2850427902457952e-40
0.5488819609789671,3.573887489014979e-43,1.3012715504560598e-40
0.5642908471262537,7.343538590412817e-44,1.318424290180335e-40
0.5801323103833378,1.4450514214034595e-44,1.336553615549656e-40
0.5964184945842459,2.7198642982802806e-45,1.3557151278251865e-40
0.6131618844795775,4.8905193350313724e-46,1.375967593922185e-40
0.6303753153071274,8.389751661645578e-47,1.3973731266429146e-40
0.648071982631197,1.3713759754537019e-47,1.4199973751712801e-40
0.666265452458115,2.1329865139556142e-48,1.4439097264133755e-40
0.6849696716357446,3.15237677880141e-49,1.4691835178014642e-40
0.7041989785449289,4.42062687295465e-50,1.4958962622140122e-40
0.7239681140910877,5.873339959491598e-51,1.5241298857015969e-40
0.7442922330043759,7.382165847483462e-52,1.5539709787477535e-40
0.7651869154570825,8.76401670385159e-53,1.585511061835381e-40
0.7866681790071581,9.811777745293852e-54,1.6188468661331368e-40
0.8087524908770457,1.0341943284627556e-54,1.6540806301627004e-40
0.8314567805772064,1.02454563266172e-55,1.691320413356721e-40
0.8547984528840413,9.523120641360717e-57,1.73068042746914e-40
0.878795401182132,8.290276034516468e-58,1.7722813868542633e-40
0.9034660211810535,6.746857008847607e-59,1.816250878688892e-40
