Frequency (Hz),White Hole B-mode Correlation,Inflationary B-mode Correlation,Cross-Correlation (WH),Cross-Correlation (Inflation)
0.04542705986374043,7.537173130390778e-89,5.7065269166272955e-87,4.143185793578219e-109,3.136879151191278e-107
0.04670234388327335,1.0162432794162993e-90,7.91015718406091e-89,4.717399436255781e-111,3.671893511779622e-109
0.048013429236534504,1.2160715910718074e-92,9.731294547414359e-91,4.749942164097103e-113,3.801016866225131e-111
0.049361320982379164,1.2871758670068963e-94,1.0589450188683267e-92,4.214953623161196e-115,3.4675946453116964e-113
0.05074705239490466,1.200986446483846e-96,1.0157753687547681e-94,3.284546354108757e-117,2.778017432090836e-115
0.05217168575554349,9.842875364521893e-99,8.558656674146948e-97,2.2395056481123517e-119,1.94731308201804e-117
0.053636313167392397,7.060062509983013e-101,6.311262062780256e-99,1.3310509817385534e-121,1.1898777883049027e-119
0.05514205739240302,4.415424094335102e-103,4.057926147027089e-101,6.869558938833227e-124,6.31336022109395e-122
0.05669007271207434,2.3985160165152872e-105,2.266200789622109e-103,3.066433355967635e-126,2.8972721652755897e-124
0.058281545812308454,1.127200678714197e-107,1.094916633269111e-105,1.1790691557420395e-128,1.1452995502709922e-126
0.05991769669310619,4.564383727927896e-110,4.558122663348884e-108,3.8889018578303785e-131,3.8835673664456296e-129
0.06159977960380169,1.5858774781304737e-112,1.6281617188578338e-110,1.0955355162132172e-133,1.1247457724478551e-131
0.06332908400455114,4.707572379457833e-115,4.968770777936499e-113,2.6243093518487046e-136,2.769918456619264e-134
0.06510693555481462,1.188625884185288e-117,1.2897964806739349e-115,5.321278896003521e-139,5.774202702521607e-137
0.0669346971295866,2.5412137706493087e-120,2.834922901332438e-118,9.09069923449486e-142,1.0141386665951307e-139
0.0688137698641567,4.57885303912581e-123,5.251468987936634e-121,1.3021758299140415e-144,1.4934604647062022e-142
0.07074559422819879,6.92000493647633e-126,8.15933102155145e-124,1.5562708796653255e-147,1.834988469366085e-145
0.07273165113001454,8.728637629155881e-129,1.058080378140138e-126,1.543959213631113e-150,1.8715783814131615e-148
0.07477346305177587,9.142666233895597e-132,1.1393813597248522e-129,1.2648860058293842e-153,1.5763317836931973e-151
0.07687259521663728,7.910787452871285e-135,1.013537936182379e-132,8.511341470532066e-157,1.0904815126913165e-154
0.07903065678861347,5.624157990507984e-138,7.408014997879576e-136,4.6781734001972045e-160,6.161985273143436e-158
0.08124930210614047,3.267317610662976e-141,4.42445459375782e-139,2.0884281703989594e-163,2.828055522395321e-161
0.08353023195026779,1.5422653722530005e-144,2.147096404552654e-142,7.528209564689206e-167,1.0480551518478567e-164
0.0858751948484517,5.8807067290299874e-148,8.416780603367524e-146,2.178139030465849e-170,3.1174685608045423e-168
0.0882859884149515,1.8005296702670904e-151,2.6493590268329465e-149,5.02713851301669e-174,7.397098208675801e-172
0.09076446072885357,4.399426041801768e-155,6.655192203343538e-153,9.196907814078909e-178,1.3912539635297526e-175
0.0933125117507825,8.524447955411183e-159,1.3257294166804e-156,1.3249990097630949e-181,2.0606497611382333e-179
0.09593209477938242,1.3013176494135482e-162,2.080635468027061e-160,1.493239579011649e-185,2.3874933470345107e-183
