Frequency (Hz),White Hole Total SGWB,White Hole Polarized SGWB,Binary Black Hole Total SGWB,Binary Black Hole Polarized SGWB
0.003184241601504653,4.047632984057962e-16,1.2142898952173887e-16,1.4515803000763061e-16,1.451580300076306e-17
0.0032736335287152475,3.848423093546207e-16,1.154526928063862e-16,1.4186782563949016e-16,1.4186782563949018e-17
0.0033655349755070943,3.658099472618676e-16,1.0974298417856026e-16,1.3863480180375254e-16,1.3863480180375255e-17
0.003460016392185109,3.476291310889014e-16,1.0428873932667041e-16,1.3545798029905414e-16,1.3545798029905415e-17
0.0035571502068213858,3.3026429369864785e-16,9.907928810959435e-17,1.3233640416996919e-16,1.323364041699692e-17
0.003657010880777493,3.1368131986780097e-16,9.410439596034028e-17,1.2926913740161737e-16,1.2926913740161737e-17
0.003759674965785468,2.9784748682165925e-16,8.935424604649777e-17,1.2625526461976919e-16,1.262552646197692e-17
0.003865221162631262,2.8273140718937123e-16,8.481942215681137e-17,1.2329389079617502e-16,1.2329389079617503e-17
0.003973730381485609,2.68302974281558e-16,8.04908922844674e-17,1.2038414095883944e-16,1.2038414095883944e-17
0.004085285803928565,2.545333095963062e-16,7.635999287889186e-17,1.1752515990695035e-16,1.1752515990695035e-17
0.004199972946715306,2.4139471246338256e-16,7.241841373901477e-17,1.1471611193016416e-16,1.1471611193016416e-17
0.004317879727332021,2.2886061174023566e-16,6.865818352207069e-17,1.119561805319404e-16,1.119561805319404e-17
0.004439096531392171,2.169055194769015e-16,6.507165584307045e-17,1.092445681566085e-16,1.0924456815660851e-17
0.0045637162819247585,2.0550498647034362e-16,6.165149594110309e-17,1.0658049591983878e-16,1.0658049591983879e-17
0.004691834510607799,1.946355596320265e-16,5.839066788960795e-17,1.0396320334217832e-16,1.0396320334217832e-17
0.004823549431001467,1.842747410956801e-16,5.528242232870402e-17,1.0139194808530588e-16,1.0139194808530589e-17
0.004958962013837212,1.7440094899520475e-16,5.2320284698561423e-17,9.88660056906419e-17,9.886600569064191e-18
0.005098176064420424,1.6499347984558135e-16,4.9498043953674405e-17,9.638466931994554e-17,9.638466931994555e-18
0.0052412983022060615,1.5603247246241168e-16,4.68097417387235e-17,9.394724949751347e-17,9.394724949751348e-18
0.005388438442608223,1.474988733583791e-16,4.4249662007513733e-17,9.155307385358629e-17,9.15530738535863e-18
0.005539709281106401,1.3937440355747904e-16,4.181232106724371e-17,8.920148686855571e-17,8.920148686855572e-18
0.005695226779712825,1.316415267703133e-16,3.949245803109399e-17,8.689184961755388e-17,8.689184961755388e-18
0.005855110155867244,1.2428341887609182e-16,3.7285025662827544e-17,8.46235395149943e-17,8.462353951499431e-18
0.006019481973827274,1.1728393865923708e-16,3.518518159777112e-17,8.239595005862103e-17,8.239595005862102e-18
0.006188468238624382,1.106275997506482e-16,3.318827992519446e-17,8.02084905726129e-17,8.02084905726129e-18
0.006362198492657489,1.0429954372574855e-16,3.128986311772456e-17,7.80605859492768e-17,7.80605859492768e-18
0.006540805914998259,9.828551431342629e-17,2.948565429402788e-17,7.59516763888537e-17,7.59516763888537e-18
0.006724427423484249,9.2571832671871e-17,2.77715498015613e-17,7.388121713694942e-17,7.388121713694942e-18
0.006913203779678127,8.714537368913665e-17,2.6143612106740994e-17,7.18486782190939e-17,7.18486782190939e-18
0.007107279696773419,8.199354326799717e-17,2.4598062980399148e-17,6.985354417192273e-17,6.985354417192274e-18
0.007306803950529507,7.710425655632848e-17,2.3131276966898543e-17,6.789531377046628e-17,6.789531377046628e-18
0.007511929493320969,7.246591708584409e-17,2.1739775125753226e-17,6.597349975102417e-17,6.597349975102417e-18
0.007722813571388642,6.806739678353556e-17,2.0420219035060667e-17,6.4087628529098e-17,6.4087628529098e-18
0.007939617845382276,6.389801682162582e-17,1.9169405046487744e-17,6.223723991185007e-17,6.223723991185008e-18
0.008162508514287228,5.994752927322975e-17,1.7984258781968926e-17,6.042188680455234e-17,6.042188680455234e-18
0.00839165644283016,5.6206099542246e-17,1.6861829862673798e-17,5.864113491048964e-17,5.864113491048964e-18
0.00862723729246145,5.266428953726474e-17,1.579928686117942e-17,5.689456242378105e-17,5.689456242378105e-18
0.008869431656014705,4.931304156048295e-17,1.4793912468144885e-17,5.5181759714587426e-17,5.518175971458743e-18
0.00911842519614657,4.614366288376354e-17,1.3843098865129062e-17,5.3502329006178136e-17,5.3502329006178136e-18
0.009374408787663,4.3147810985063433e-17,1.294434329551903e-17,5.185588404333903e-17,5.185588404333903e-18
0.009637578663841089,4.0317479419490694e-17,1.2095243825847207e-17,5.0242049751614163e-17,5.024204975161417e-18
0.009908136566858666,3.7644984300231624e-17,1.1293495290069488e-17,4.866046188688967e-17,4.866046188688967e-18
0.010186289902446875,3.512295136551948e-17,1.0536885409655843e-17,4.711076667484637e-17,4.7110766674846375e-18
0.010472251898884344,3.2744303608694216e-17,9.823291082608265e-18,4.559262043982997e-17,4.559262043982998e-18
0.010766241770454932,3.0502249449232894e-17,9.150674834769868e-18,4.410568922271323e-17,4.410568922271323e-18
0.01106848488549412,2.8390271423416986e-17,8.517081427025095e-18,4.2649648387358363e-17,4.264964838735837e-18
