Frequency (Hz),Total SGWB,Polarized SGWB
5.314359158053241,1.2946069311477942e-251,3.8838207934433824e-252
5.463550352214876,4.119178560426447e-258,1.2357535681279341e-258
5.616929824163804,8.621616793643806e-265,2.586485038093142e-265
5.774615152359826,1.173183246284958e-271,3.519549738854874e-272
5.9367272160691265,1.0253976277061935e-278,3.0761928831185805e-279
6.1033902880286215,5.685530416933892e-286,1.7056591250801674e-286
6.274732129711574,1.9744824547594277e-293,5.923447364278283e-294
6.450884089267699,4.238720747706785e-301,1.2716162243120353e-301
6.631981202212676,5.549464140705463e-309,1.66483924221164e-309
6.818162294944479,4.369914e-317,1.310974e-317
7.009570091165617,0.0,0.0
7.206351321293045,0.0,0.0
7.408656834939568,0.0,0.0
7.616641716552891,0.0,0.0
7.830465404301183,0.0,0.0
8.050291812295972,0.0,0.0
8.276289456246351,0.0,0.0
8.50863158264058,0.0,0.0
8.747496301554415,0.0,0.0
8.993066723187614,0.0,0.0
9.24553109823358,0.0,0.0
9.50508296218951,0.0,0.0
9.771921283717996,0.0,0.0
10.046250617173403,0.0,0.0
10.328281259410295,0.0,0.0
10.618229410993846,0.0,0.0
10.916317341936146,0.0,0.0
11.22277356208507,0.0,0.0
11.537832996296597,0.0,0.0
11.861737164524792,0.0,0.0
12.194734366967383,0.0,0.0
12.537079874409196,0.0,0.0
12.889036123908916,0.0,0.0
13.250872919979539,0.0,0.0
13.622867641416468,0.0,0.0
14.005305453932197,0.0,0.0
14.398479528760065,0.0,0.0
14.802691267395101,0.0,0.0
15.21825053264387,0.0,0.0
15.645475886160959,0.0,0.0
16.08469483265355,0.0,0.0
16.536244070941823,0.0,0.0
17.00046975206718,0.0,0.0
17.47772774464681,0.0,0.0
17.968383907677193,0.0,0.0
18.472814370996357,0.0,0.0
18.991405823619353,0.0,0.0
19.524555810168607,0.0,0.0
20.072673035625684,0.0,0.0
20.636177678638564,0.0,0.0
21.215501713624523,0.0,0.0
21.811089241915198,0.0,0.0
22.42339683219845,0.0,0.0
23.05289387051706,0.0,0.0
23.700062920093306,0.0,0.0
24.36540009125466,0.0,0.0
25.049415421745024,0.0,0.0
25.752633267711985,0.0,0.0
26.475592705670692,0.0,0.0
27.218847945751794,0.0,0.0
27.982968756551156,0.0,0.0
28.76854090190591,0.0,0.0
29.576166589932566,0.0,0.0
30.406464934670684,0.0,0.0
31.260072430687035,0.0,0.0
32.13764344100276,0.0,0.0
33.039850698718546,0.0,0.0
33.96738582272209,0.0,0.0
34.920959847872716,0.0,0.0
35.90130377007068,0.0,0.0
36.90916910662774,0.0,0.0
