Frequency (Hz),SGWB Anisotropy,CMB B-mode Correlation,Cross-Correlation
0.2326662911331458,3.501879255213776e-30,0.0,0.0
0.23919798400202397,1.7482248063532608e-30,0.0,0.0
0.2459130425468044,8.568995584318934e-31,0.0,0.0
0.25281661443315007,4.121691943205516e-31,0.0,0.0
0.2599139918382933,1.9444835474690074e-31,0.0,0.0
0.2672106155079435,8.992487879051021e-32,0.0,0.0
0.27471207892708116,4.0743597424123255e-32,0.0,0.0
0.2824241326078436,1.8075614233990605e-32,0.0,0.0
0.29035268849778134,7.84737099130615e-33,0.0,0.0
0.29850382451187324,3.3318755640036794e-33,0.0,0.0
0.30688378919176423,1.3826601921047976e-33,0.0,0.0
0.31549900649580886,5.6043500495749525e-34,0.0,0.0
0.32435608072358113,2.2173351170986846e-34,0.0,0.0
0.33346180157863625,8.557340851980566e-35,0.0,0.0
0.34282314937339703,3.2191750253646205e-35,0.0,0.0
0.35244730038015837,1.1796059380470357e-35,0.0,0.0
0.36234163233231503,4.20722270011723e-36,0.0,0.0
0.372513730080021,1.4594554302951794e-36,0.0,0.0
0.3829713914046281,4.920217529649813e-37,0.0,0.0
0.3937226329963479,1.6107485242413483e-37,0.0,0.0
0.4047756965997322,5.116384998223614e-38,0.0,0.0
0.41613905533167067,1.5755157367682624e-38,0.0,0.0
0.4278214201767617,4.699244204456329e-39,0.0,0.0
0.4398317466650224,1.3564072123663641e-39,0.0,0.0
0.4521792417370702,3.785376840433091e-40,0.0,0.0
0.4648733708020257,1.020408406944855e-40,0.0,0.0
0.47792386499356,2.654374487766876e-41,0.0,0.0
0.4913407286296362,6.656395804953155e-42,0.0,0.0
0.5051342468816766,1.6075266436491676e-42,0.0,0.0
0.5193149936590212,3.734737653098717e-43,0.0,0.0
0.5338938397147355,8.33820922882636e-44,0.0,0.0
0.5488819609789671,1.7869437445074898e-44,0.0,0.0
0.5642908471262537,3.6717692952064084e-45,0.0,0.0
0.5801323103833378,7.225257107017298e-46,0.0,0.0
0.5964184945842459,1.3599321491401403e-46,0.0,0.0
0.6131618844795775,2.4452596675156865e-47,0.0,0.0
0.6303753153071274,4.194875830822789e-48,0.0,0.0
0.648071982631197,6.85687987726851e-49,0.0,0.0
0.666265452458115,1.0664932569778072e-49,0.0,0.0
0.6849696716357446,1.5761883894007051e-50,0.0,0.0
0.7041989785449289,2.210313436477325e-51,0.0,0.0
0.7239681140910877,2.936669979745799e-52,0.0,0.0
0.7442922330043759,3.691082923741731e-53,0.0,0.0
0.7651869154570825,4.382008351925795e-54,0.0,0.0
0.7866681790071581,4.905888872646926e-55,0.0,0.0
0.8087524908770457,5.170971642313779e-56,0.0,0.0
0.8314567805772064,5.1227281633086e-57,0.0,0.0
0.8547984528840413,4.761560320680359e-58,0.0,0.0
0.878795401182132,4.145138017258234e-59,0.0,0.0
0.9034660211810535,3.373428504423804e-60,0.0,0.0
0.9288292250172498,2.5616836192267877e-61,0.0,0.0
0.9549044557518077,1.8115759096276899e-62,0.0,0.0
0.9817117022752194,1.1906840626953014e-63,0.0,0.0
1.0092715146305717,7.258602695753554e-65,0.0,0.0
