Time (s),Observed Photon Flux,Approx. Photon Energy (MeV),Predicted Time Delay (s)
198.87400000000002,2.748744708e-09,0.002748744708,6.63372258684373e-07
199.56349999999998,2.43126996e-09,0.00243126996,6.656721831207641e-07
200.23739999999998,3.029337856e-09,0.003029337856,6.679200715583045e-07
200.7935,2.90712092e-09,0.0029071209200000002,6.697750214917014e-07
201.4631,2.509409824e-09,0.002509409824,6.720085666731482e-07
202.18990000000002,2.717606456e-09,0.002717606456,6.744329105170485e-07
202.8365,2.83313166e-09,0.00283313166,6.765897359565997e-07
203.4321,3.264258696e-09,0.0032642586959999997,6.785764437075998e-07
204.0104,2.556305348e-09,0.002556305348,6.805054448701308e-07
204.6443,3.209893936e-09,0.003209893936,6.826199076695919e-07
205.2808,2.890193476e-09,0.002890193476,6.847430431355281e-07
205.84159999999997,3.558865784e-09,0.003558865784,6.866136705813992e-07
206.58870000000002,2.282027996e-09,0.0022820279959999998,6.891057279366248e-07
207.3034,2.442964204e-09,0.0024429642039999998,6.91489710525006e-07
208.0455,2.521691112e-09,0.002521691112,6.939650896754714e-07
208.6866,3.047340776e-09,0.003047340776,6.961035690897868e-07
209.28699999999998,2.969600344e-09,0.0029696003439999997,6.981062879173565e-07
209.8952,2.586324692e-09,0.002586324692,7.001350247443516e-07
210.56529999999998,2.850182992e-09,0.002850182992,7.023702377462744e-07
211.2523,2.637939352e-09,0.002637939352,7.046618230802857e-07
212.01870000000002,2.142237476e-09,0.002142237476,7.072182583058845e-07
212.80599999999998,2.06961134e-09,0.0020696113400000002,7.098444084273794e-07
213.6449,2.339311244e-09,0.002339311244,7.126426776219968e-07
214.35860000000002,2.395943012e-09,0.002395943012,7.15023324569426e-07
215.0346,3.103675996e-09,0.003103675996,7.172782178529655e-07
215.63330000000002,2.996579804e-09,0.0029965798040000003,7.192752660909169e-07
216.2244,2.710018316e-09,0.002710018316,7.212469634576331e-07
216.90570000000002,2.496728036e-09,0.002496728036,7.235195356382182e-07
217.6528,2.322875792e-09,0.002322875792,7.260115929934436e-07
218.44009999999997,2.345782968e-09,0.002345782968,7.286377431149385e-07
219.1596,2.596561472e-09,0.002596561472,7.310377367798892e-07
219.90319999999997,2.155297692e-09,0.002155297692,7.335181193917826e-07
220.70170000000002,2.213988564e-09,0.002213988564,7.3618162869194e-07
221.5281,2.016003792e-09,0.002016003792,7.389382023746574e-07
222.3397,2.335006136e-09,0.002335006136,7.416454085712856e-07
222.995,3.202156276e-09,0.003202156276,7.438312540871192e-07
223.71749999999997,2.344532696e-09,0.0023445326959999997,7.462412546749257e-07
224.4964,2.109648524e-09,0.0021096485239999996,7.488393854124242e-07
225.24599999999998,2.14536814e-09,0.00214536814,7.513397818700295e-07
226.132,1.819041452e-09,0.0018190414520000001,7.542951597534852e-07
227.0759,1.847468408e-09,0.001847468408,7.574436712480605e-07
227.93869999999998,2.04258204e-09,0.00204258204,7.603216622614301e-07
228.8797,1.842945428e-09,0.001842945428,7.634605003972448e-07
229.79070000000002,2.064068064e-09,0.0020640680640000002,7.664992693045001e-07
230.6404,1.812197708e-09,0.001812197708,7.693335634213987e-07
231.52530000000002,2.173950668e-09,0.002173950668,7.722852720998072e-07
232.4158,1.894105832e-09,0.0018941058319999998,7.752556603675467e-07
233.2552,2.379689832e-09,0.0023796898319999996,7.780555973826399e-07
233.97719999999998,1.978387408e-09,0.0019783874080000004,7.804639301499706e-07
234.80849999999998,1.639621368e-09,0.001639621368,7.832368484733528e-07
235.88330000000002,2.079886568e-09,0.002079886568,7.868219953685426e-07
236.90210000000002,1.92508424e-09,0.00192508424,7.902203463704215e-07
237.80849999999998,1.805885828e-09,0.001805885828,7.932437713292973e-07
238.84749999999997,1.675480892e-09,0.001675480892,7.967095022784062e-07
239.9085,1.67566886e-09,0.00167566886,8.002486173284587e-07
